i,j
3842,4282
3650,8628
8326,11145
2415,2279
4285,5183
9202,4064
5417,84
2087,3207
4497,2969
8270,3099
3331,7403
2470,2298
8142,8560
3090,8572
10424,9419
279,1898
496,8653
3848,7627
649,9520
4620,5567
3353,278
373,4931
4229,3787
4728,6291
8257,4204
397,6367
117,5501
11520,6731
6777,6411
1972,1652
3663,10913
4025,7957
11145,3678
7244,363
4768,3861
8673,10066
9012,2588
11339,11401
1782,6305
1285,9336
167,4256
2166,11142
124,231
6997,10827
10168,632
3537,223
4236,5863
4100,8297
5728,1840
865,3831
2465,739
4891,6575
712,7084
5396,4932
10636,4563
6456,8159
7063,3533
6253,4766
1355,4353
7473,4311
6007,8072
6500,9416
2590,7354
7202,2307
1862,3888
4447,7134
8280,2787
584,11223
5404,8267
1294,4353
2460,3717
7337,4431
601,5900
925,4869
4673,2791
177,2054
11432,1275
1223,4619
3330,639
543,1003
1884,169
7007,5665
8902,3224
8299,503
2361,1919
5604,8834
1632,11354
3034,3680
4251,2446
9521,909
8998,10700
89,6253
1612,4521
7707,8249
5298,3522
7409,10804
4479,2618
4545,6742
6665,794
11210,1686
2629,665
2342,489
1149,3697
3327,10057
747,1090
3603,7060
621,7930
2097,2440
9404,3126
4408,8977
8907,7491
1170,10757
2731,2361
8395,10346
2132,4411
6862,6953
8921,7807
6238,8049
3543,11325
3420,8183
6900,10643
6939,4205
677,8410
80,1528
6636,1310
282,11473
2621,2121
1813,591
6655,879
8813,11549
6923,1660
5051,1625
242,561
4516,2038
7121,2643
607,9725
7626,8894
348,9422
3958,10421
7483,2671
1024,7499
6680,10514
4969,5609
1080,7527
5329,6671
36,2630
9851,10680
7884,194
11265,9846
4630,6114
5561,4662
3695,10836
2954,9132
7296,3110
2438,8951
507,4354
9341,4113
1856,1916
8072,324
440,3501
11138,5927
4184,4727
883,6158
2234,4683
10334,9454
4976,696
2969,1564
6942,3510
6106,1737
5102,6721
75,8439
4291,3403
6784,7500
3769,2507
310,1105
6866,2743
777,5578
2323,11498
1648,3390
3628,2577
4928,1376
546,11515
1333,652
5956,9058
5898,783
8299,3462
1345,2898
5503,6577
3492,4513
10562,2622
1843,3212
7784,3838
6159,261
7215,11517
759,4360
9483,8789
6093,33
5477,5763
6510,3483
2494,2027
2813,4175
5568,8843
3505,4823
11513,7127
10223,97
919,10460
5675,10975
9307,2941
2410,1451
4997,9657
816,2805
8696,1706
8413,243
3887,8400
4079,1919
1067,11289
534,144
1198,2747
5071,374
7530,2724
3807,1142
2301,7011
6623,1408
6358,6623
7344,1339
10389,7325
1277,2116
2902,8984
2724,7017
9292,1121
7603,8505
542,5958
7721,1931
5095,736
10643,7833
5911,5936
10400,1919
11403,10983
5260,11538
7220,4079
4388,5493
4214,1853
2133,6477
1038,6679
5299,5764
3744,8673
2401,11392
7829,432
7768,8473
8579,953
5188,2630
7069,11146
4386,4431
2840,8901
760,3590
9673,4661
4010,855
3971,2276
2825,7709
10698,3928
736,1780
7147,3292
1765,1137
9279,10643
11488,10410
9732,2563
625,7850
2221,1657
5238,1689
8175,2355
5559,411
10781,9164
3504,2162
1024,1042
4783,1346
6318,5256
5834,2864
7492,5711
6910,5090
637,5719
463,4988
9707,11071
1851,1254
6959,334
7314,10818
8895,3467
1913,6370
8323,4237
7929,1694
366,6439
324,1735
8256,4125
3141,3447
1497,1134
276,5424
2306,6855
2861,10054
3906,1792
7849,1383
11192,355
7543,3707
10112,9518
1723,7965
6027,3293
564,1338
2416,4078
9659,6217
5599,7893
3178,9418
8428,132
3766,280
7473,8579
8673,187
9203,1001
644,6169
2857,6643
5366,2353
2046,789
923,8998
3305,6346
5068,5443
4247,7485
6381,9842
958,2382
6630,3965
5720,3994
7397,1832
5051,6095
2068,11380
10407,11226
4740,9134
6538,7057
8176,4383
5612,5771
6536,9015
3005,7055
3133,4151
942,11201
10756,7334
2810,1248
3133,979
7561,7399
3150,2669
5877,2002
5377,3119
5675,3533
10804,7891
3860,2491
7615,9470
7128,1587
5216,3346
1937,10781
3555,8008
10070,2738
10378,7515
10928,7952
3535,3395
1954,1417
5365,8470
664,8534
4893,11547
1121,9316
7753,8146
3218,6175
5148,5341
7534,7431
744,660
5874,11501
7700,2680
10221,4821
6243,6132
7309,519
9745,5780
4281,4735
1797,10805
860,4415
9840,7423
1171,11186
8624,5028
3229,8286
3143,8944
9420,4300
4257,1372
8219,1112
3245,10980
4920,351
4002,6629
601,8222
2761,1791
3802,10788
7473,4873
3527,11423
1954,1149
1653,2290
1379,4710
2098,1952
10417,3628
7363,8395
4740,4496
9353,1891
5300,1985
4021,4439
7311,6687
926,6878
7634,7287
7931,950
2271,9259
8702,5965
178,9193
2428,7894
1807,706
8072,1023
1943,5571
1033,10856
4290,8768
5674,2029
5836,2850
3830,9172
2238,6366
3158,5216
6453,382
7054,10118
9753,7352
6895,5557
8060,2188
2392,8781
5417,11380
10090,7208
954,4454
2720,8030
1452,3353
10580,10498
523,7099
2609,1767
5376,4258
98,8055
9751,1938
7191,10827
1002,7173
8531,11158
10941,7355
6112,9692
2149,7100
6950,11520
532,1749
4680,11254
3749,857
2325,10324
527,5341
7600,1378
998,9370
2848,7648
1205,1041
9102,3902
4230,10769
5489,8965
5264,26
2898,6597
5356,2822
916,2280
9737,6500
8377,3242
436,2629
3454,733
9460,8681
7172,8792
5793,10818
6325,6271
1331,9814
2839,4397
5938,6955
4351,7226
6372,3249
5436,10365
11458,245
10413,1544
8893,7992
4952,3550
430,1299
8795,4717
5579,6457
177,7505
6424,6631
11494,6948
1674,9202
8628,3575
1675,8925
7939,10075
3232,4618
7287,4358
9705,1590
6935,388
10069,7816
1214,4216
8559,1904
7701,4595
6946,6385
11377,8787
3685,9761
7401,4769
8680,4099
9712,4508
8228,7990
5350,2688
176,3597
7476,804
7854,4343
4828,3557
5166,9197
9279,11402
8731,1016
4421,2035
4034,4639
5092,2303
5729,10970
10108,4156
5069,1833
7604,6572
126,461
2468,7390
3419,5958
9763,1988
1084,3092
4871,9169
8407,1311
260,6408
2772,561
96,1420
1271,7433
8437,2238
7056,10634
3229,5144
8842,3443
2619,3693
1098,8561
3730,238
5894,5612
9060,8811
2462,4087
4479,5166
8370,1076
7064,1563
701,10942
3885,4064
698,11488
89,6191
2046,10168
6362,3586
10481,11466
8088,7208
5493,6311
799,2626
9098,7204
1473,5800
724,394
8444,54
7524,1912
1359,488
3216,3922
4083,9508
11482,1219
2335,58
1306,1965
1484,8314
938,4415
7506,10431
8943,6011
4763,5202
1988,359
4194,6594
11502,10116
4267,7890
2591,5929
5075,9092
6516,287
3521,8984
5203,4316
7725,3522
4474,3679
5363,3342
4523,7923
2304,1990
4063,4134
1299,630
10986,8772
2895,2632
1027,186
3039,2273
11534,1977
646,7875
10069,5396
5862,7083
9230,213
7181,790
1493,145
10340,5344
2015,795
4962,5380
7296,1571
656,5532
8898,5129
7456,9453
6251,8734
11220,6350
5608,9250
7637,1985
4437,7631
10091,452
1899,7740
8248,11428
6976,730
8157,6382
8327,3475
6593,4116
2315,5625
7923,9174
655,5635
4987,1463
5910,7489
5339,11256
3333,2551
6604,7182
5368,383
403,11498
413,6382
8106,4738
10737,708
4824,8264
903,3263
7073,4683
11187,769
5215,7852
6595,1801
5092,53
8556,4398
324,11135
2746,7364
6670,11480
1897,2163
7813,3557
1756,5099
11551,1816
9386,4341
5954,3616
4160,7811
4152,9473
3203,1801
9458,6789
360,6462
9937,8638
4313,2878
4503,6523
65,722
688,2577
9245,1007
4150,8709
1246,4882
1835,2202
7444,6299
9227,11219
941,2688
2078,3658
1461,95
1342,9173
1333,5001
1540,7625
7464,7114
3917,7202
11259,8583
8531,7766
11179,9699
5386,11138
5711,3268
439,3975
193,10208
2183,598
10453,10325
5501,5060
2975,8270
3759,863
2280,2864
5356,6400
3663,5683
9175,11504
2995,1856
6279,6090
10932,857
10877,595
11537,8686
7314,2376
415,8588
725,3191
8413,5226
869,7224
2759,4958
10643,6054
115,4527
5808,8288
8269,6309
2544,8604
9179,6995
2158,8098
2032,1675
7550,8333
10933,7952
4285,7805
9424,9173
808,8651
288,3929
6118,2233
1504,6062
7300,3005
10707,10382
9416,386
5106,3553
1244,680
1275,3369
11359,10062
5822,2356
3812,5538
5500,11323
5908,8579
8988,5219
2885,8841
4793,1428
7506,8385
8712,1678
8909,1557
1265,9576
9762,1626
3553,8690
1257,1102
7605,10694
2147,4269
7533,11288
5092,10390
2308,7245
10919,2054
9853,5313
3866,879
2560,6451
3730,9720
9529,5543
1174,3509
6123,2514
2254,6473
5659,3762
10417,2822
1994,6822
5838,1733
9345,8583
7470,5376
775,6115
1940,6449
5639,8991
1726,1489
6232,1502
4809,6584
5676,10088
10967,10337
971,10059
1226,11490
2242,3044
5216,861
2762,7561
560,5524
6634,2338
3277,1666
9727,6473
3259,2638
1510,986
3481,8989
6530,3662
10749,4448
2838,10395
10637,10319
6779,6412
4394,5665
8400,10764
2195,793
2420,5097
171,3411
4669,1114
4977,4053
2638,5012
7699,10838
4345,10777
10327,4698
10056,5929
89,8245
3106,3749
2328,1823
8056,5164
516,244
1527,8119
5056,6770
5613,7508
3873,3879
6626,3269
9676,486
1755,3181
2992,4407
1056,10072
4282,6862
11301,7095
2946,3217
1247,2082
2922,11218
4200,7964
3556,7390
7814,915
7667,1661
6479,3788
744,9128
10250,6933
20,3423
1990,8115
7147,11071
159,7079
7993,95
8253,710
2138,10157
362,11288
8408,7117
1429,9003
7490,3971
1227,1249
5900,2103
548,9487
6800,4063
7184,11151
4122,1081
7083,5132
7377,9506
10058,1337
5509,973
4797,5094
788,486
1197,7377
6221,2647
324,910
3406,7351
6180,336
2066,4792
5341,11231
1717,4209
8552,11291
10082,8238
11383,8858
4631,3965
4626,11424
2737,5924
4874,7071
7086,5730
6117,2782
1330,3375
3077,2052
10230,11208
5329,7944
3450,9416
4005,5137
2518,9763
853,1818
2317,1713
6450,9153
2352,7424
4415,9404
4916,9313
7536,4969
9259,5069
5638,1007
3446,5584
7878,6976
4160,146
6418,4771
7739,7470
3222,9336
3734,9421
8583,6356
1373,4182
10825,2381
4301,9191
11334,2628
4088,876
5769,6891
2414,6386
7861,4293
3890,2814
9472,4673
9092,1636
11334,9654
3368,10332
9278,1794
5407,10397
11391,3405
11291,2931
3563,3666
6890,5741
7543,8446
6595,1636
256,11000
9069,4924
7161,5444
1944,7303
8148,3089
10482,5403
7794,1604
7991,10185
6291,8180
7673,2104
4524,550
6368,266
5639,4669
6212,292
4473,7293
10423,8410
6202,3537
4730,6059
3542,3885
3922,7117
905,6558
5079,11457
1267,10875
7423,1044
9059,275
11358,2601
48,458
2800,6195
5595,8805
9322,2816
1906,1186
901,7373
1745,5608
1704,7988
8993,2676
6036,7945
3130,1982
4539,3294
4211,2253
11552,1353
1612,4041
10819,10640
6153,3670
3214,812
2134,9834
7466,8402
6989,9200
7616,1647
3608,8989
6982,3555
9309,436
2250,888
2598,2080
18,7368
3525,7457
3541,3569
1401,7747
5378,2064
8284,6900
3126,2288
10336,5086
6030,5350
2073,9650
9701,11549
8406,9514
1131,3538
7876,783
4126,2843
4934,3181
1314,11225
10559,2501
5441,196
11228,10186
3559,8552
9756,347
1221,4522
1878,7885
7925,6090
3070,7682
715,4528
4953,3862
4383,5791
8976,8675
4827,3669
6320,4580
2361,9355
11236,4491
3279,892
9520,5478
7859,3096
6179,1086
10675,7508
8325,7513
8255,8177
2955,4405
2700,4673
2147,1290
2900,9756
2847,2302
25,1546
1396,7694
11328,2756
5896,7970
1247,9327
3314,4193
6956,10857
6313,4260
9097,3122
12,4862
1328,10913
6339,3438
3586,1009
11356,4043
4166,8224
329,808
6599,3947
185,7718
10583,11508
3675,3530
8298,5819
2926,209
380,4658
2926,10419
712,5767
8541,3875
5510,1368
5164,1195
5776,9669
4499,7134
7511,4182
2345,7057
6666,1063
1200,7850
7227,10528
10826,2688
6850,7860
411,4363
5138,8902
10826,5446
9523,5672
7447,1987
9668,146
4205,3960
8256,11291
4643,10446
1802,383
5935,1939
4260,6839
3160,7278
10541,4412
8472,268
3805,1566
838,1780
3136,4531
7128,10183
289,9394
7194,5444
2050,11414
1315,4873
8371,1860
924,2763
5014,1135
8713,6175
291,6888
2909,9416
5861,9352
3054,3300
5023,7800
5825,7876
36,10069
7446,1509
4173,3284
1371,7554
4658,1251
2550,1618
2232,1166
2498,7339
10975,6967
5075,4801
5451,9006
7016,10014
8948,5616
1368,3638
2689,5160
9732,3503
6004,1571
9174,6998
6833,6998
5837,6626
5734,11295
874,8895
9156,3726
10754,3670
11290,4338
11353,7215
6942,1290
758,4086
2220,659
4472,832
140,14
11245,719
2361,589
1129,10696
9716,3321
3794,966
1384,7890
7772,615
3609,2436
722,10855
2318,7998
8980,9475
10101,434
8985,10605
10073,6518
8988,2747
359,3288
591,6373
5824,4028
6188,7125
3360,7072
4981,10990
7333,2507
7773,7825
6592,4137
7725,1416
3835,1000
2929,6575
1566,7221
8508,1496
3831,8054
4451,9169
3086,2706
2076,321
4631,8825
6253,118
4403,6674
2448,7807
3497,9426
11429,9759
7001,4482
8894,4793
9466,6519
1444,9227
205,5974
3051,10931
8619,6659
7004,6372
5824,120
5355,7342
4659,7187
703,1784
3773,4073
3521,2194
2865,1853
5557,6156
5812,5128
8012,10541
7984,10335
3260,8249
535,10069
9469,7741
6896,1115
3990,310
1044,8542
446,8060
5740,1083
10749,3902
9229,964
8806,367
4888,7368
1935,10647
6989,6090
5357,8578
4535,9454
9857,2411
5444,3311
4185,692
2631,10591
6515,5670
4793,5085
7414,8114
10849,6073
1690,7430
6685,9296
1824,6797
10819,3075
2022,2602
9330,5918
875,4105
4217,1503
984,126
4784,1656
1914,3728
2131,756
2849,5819
4491,3365
3167,8662
3786,9174
11158,1867
3395,754
4174,8118
9005,1674
3351,10342
492,37
9108,5459
3802,7407
10269,4713
1894,9412
4924,40
4770,6265
5214,8785
3926,8157
2504,2084
5072,8062
7396,1012
1686,10586
4821,481
859,372
413,6685
8714,1486
2832,10224
100,7372
11432,11390
356,7613
5261,3481
5801,5211
1694,3578
10360,3063
3846,4040
853,3694
4860,8552
9749,337
4044,734
524,6129
4171,3973
1273,5125
4965,4565
10961,4056
1533,895
4885,1355
1330,1969
2611,1689
936,9852
7350,10084
1286,6444
5675,3096
1966,8322
6383,10789
6353,4840
6096,5071
10161,2903
1625,6221
9324,9382
5995,8824
2320,582
9515,4130
5528,3647
906,1961
6812,2126
7708,2033
7446,9426
1443,6646
8511,4677
181,10513
3564,686
10407,3631
4483,7504
1941,7015
6484,4028
3025,2780
7495,7201
5722,4343
11360,11144
9257,793
5115,917
7541,9196
2453,8242
1642,9646
1036,3540
7715,4293
2482,7406
7123,2938
7933,6593
5301,1321
5309,1713
8437,5531
9743,7058
3448,5986
3720,2439
4197,2518
11145,4871
5513,351
9201,5475
3538,8310
8726,5524
6899,2003
3386,4789
4836,3651
3024,1140
7724,4082
1657,3961
5397,672
6314,7151
1218,5227
4593,11510
5820,7336
6057,9017
1083,3843
1582,6333
4970,5121
426,5379
5211,4979
7146,4498
8443,10058
4816,2919
10542,11067
6298,4658
4640,6312
3962,325
5422,11249
1033,3385
11403,9402
9098,2721
8803,2350
1079,3316
7783,5393
5130,5723
10377,5509
10349,10854
1550,4893
1012,7148
244,7859
7691,8046
6056,6385
1896,3857
3619,6893
3240,1307
6063,3828
4099,3099
4195,4074
6922,433
11137,4357
7666,6190
6953,11384
2910,5276
11145,2378
5761,5719
2609,6508
8262,6490
8963,4818
4988,7537
6253,2161
8988,7326
1426,756
4471,359
9851,4971
5988,1872
5815,11237
1255,6631
7337,2337
4623,11391
2327,6767
6317,9859
11240,10919
2815,4775
9045,10561
7700,11181
3478,4382
6593,4792
9075,7826
1294,2466
1253,2975
4889,6472
9731,4389
8608,8398
10712,1817
570,8945
8288,6299
1337,3867
6230,651
988,574
8015,3697
9746,3072
9695,8650
8408,688
3381,8941
3479,7847
2097,1818
1497,4151
3409,6046
1070,844
1373,10959
2652,10864
7470,2641
3627,520
4993,4797
8926,7342
7826,7453
5986,754
2446,8512
7963,8679
6425,5687
5396,7897
5163,4171
4056,11178
2753,1076
8517,310
7483,1200
8444,3343
5599,5648
8788,4301
6971,2681
3644,1368
6231,1351
4819,2482
254,5490
3208,7192
10152,2813
3143,1406
4873,1692
5950,5283
6884,8030
6378,11435
7204,9687
4884,349
6876,6641
10558,11531
1109,1919
7492,970
8506,5966
5342,5075
3256,9472
4840,1123
5616,10079
7851,2277
10735,9415
8919,6915
468,4682
1485,4930
4886,8845
5549,1467
10771,5893
8625,3270
2877,745
7347,8004
7161,4587
1118,6182
897,4187
2420,892
5824,9251
1011,4405
5975,9007
3031,6607
4639,4709
3469,158
7331,4714
501,11420
11201,10343
9206,8874
7342,11163
10786,11520
10353,60
7642,2301
2140,4064
4965,913
4557,5905
7451,8398
3477,435
7740,3521
6867,8927
336,1095
7457,9738
10406,4974
8410,7701
3310,3391
7455,10823
8951,5075
10637,3815
3195,4625
10352,9486
3412,10375
4144,8516
5153,216
2012,378
35,8754
5709,7511
391,7865
9765,9856
7493,1203
6550,4718
5896,7103
11504,4267
10975,2467
10300,4987
7693,3411
435,633
4553,6888
4820,149
3847,8264
2461,500
10233,11247
8925,5594
5003,4041
942,7182
6833,11548
5827,7339
11512,2886
2293,7063
8219,1377
9751,7505
2057,9765
3527,133
8831,11507
259,5060
2868,5073
1674,8219
1440,7472
4385,5240
7216,6579
4683,11512
9307,3781
1197,3536
1451,3449
2017,8431
3957,3560
1625,7378
4505,11246
6801,8571
10291,507
3633,6951
6607,4089
2712,286
11492,4335
2134,10118
10300,4540
7228,9533
9169,9120
1080,8280
3191,6593
7344,9139
10398,946
4118,1615
1344,921
2915,4268
3323,3839
3668,5311
4713,4553
9672,300
7667,2945
4554,4449
7208,2738
1323,5998
7828,2988
9443,1334
150,9763
236,3813
10316,1323
542,8468
2950,3141
1138,6319
7618,11488
5188,1969
1080,9301
1165,4286
1503,7213
3127,2372
2865,10483
5043,254
2922,11223
3442,1044
6195,1735
1335,5828
1896,6900
3486,1918
4522,7620
10390,4925
2237,9682
2935,5446
2772,5006
9712,8675
4909,1769
5091,7988
10847,1275
7147,8677
2642,4176
137,1350
7154,484
60,4499
5178,1912
3244,2657
823,9507
9663,1464
7700,3212
448,5157
1616,4029
8046,168
3206,4002
3433,5914
8104,4990
3456,10423
2052,1785
2705,473
7322,762
4287,5135
3201,3368
9098,3107
6101,4885
2832,2283
5294,5585
7389,1854
4150,9733
409,3267
1170,1113
2126,4307
6368,1535
447,5715
2068,1930
5611,10932
3152,5366
3410,11436
2971,3932
7104,8636
7095,2563
9431,430
7183,5122
1899,4327
8622,265
8793,6426
3130,5210
6955,8873
9548,9099
4228,1776
11341,9522
4686,5986
434,256
125,10913
9114,10510
4093,3462
6406,8119
2670,5791
6878,3489
4914,7728
2923,2889
11386,3724
7320,7237
5320,7603
9287,9353
10231,2496
8604,1820
9857,3183
181,6033
812,5527
8780,5046
1641,8763
8401,1800
1800,650
9157,1703
2062,5314
6147,3042
2183,7815
8226,427
4446,4553
7851,4128
4290,6216
2726,6149
11266,2948
1393,2864
7352,6092
4289,8730
583,10512
6900,10596
4925,4207
943,8326
7199,2619
4822,3809
9309,3299
919,4023
2836,7809
8652,11480
6733,4714
1216,9353
60,10982
8512,7511
6218,5141
5018,2629
2188,603
4453,7485
3424,8762
3546,6731
343,7137
4604,8696
3247,2718
9353,5981
7879,11481
11513,1083
2408,686
1182,10411
637,1697
1138,10508
3579,11135
11330,855
10393,2353
900,360
5238,3475
6052,1194
563,5510
7089,1891
2854,2070
5655,7064
8245,2604
8557,465
1280,9511
6825,1008
236,7465
1657,9050
5724,2990
3330,8666
1910,7956
8299,3588
2757,4664
304,648
5674,759
5182,4792
968,304
127,794
1869,6133
7800,5504
11218,8650
825,6570
1,2911
1404,11318
647,7152
173,1775
7662,6930
11431,2
5559,3283
622,3648
621,3624
3755,1940
9089,10783
9279,9119
2339,1926
537,787
10400,5819
4788,9468
6095,665
5005,4673
5091,3221
6462,6996
7221,8444
9309,18
7994,6252
2534,11524
8779,6778
6307,2639
4474,4867
5228,4493
507,265
11387,564
790,1315
4890,11143
3943,543
2494,3130
6977,4448
1765,10515
8825,11535
5541,7641
1221,6189
5076,2132
6693,5827
3319,689
1014,6667
6567,4301
4827,3936
7700,8673
1318,6833
886,7129
9449,3477
10616,9666
11265,1823
9141,1480
6516,293
5517,632
1603,3455
1656,6099
540,5535
5619,4125
11222,5616
9388,2232
7187,2716
10054,386
131,3050
2579,7976
1680,1896
2721,4105
2012,7739
9348,1731
11468,11240
6845,8510
6116,323
1351,1120
3592,4369
6298,1551
3734,2402
8433,9296
1798,283
1175,4811
6316,8363
7374,3888
6936,9057
7018,7144
9308,7449
4765,7865
3926,9279
10819,6158
6946,3104
3908,2252
7504,3381
11484,7503
2927,7698
4972,2188
8659,8925
10353,11214
3447,2409
7280,3071
1214,2255
816,5435
102,6991
7900,845
2109,5773
4706,6342
6621,3091
11491,2066
1712,7136
9164,4111
7833,1431
5580,4650
7605,1776
6845,4714
6195,122
1696,4785
9173,1260
5253,5743
1843,3615
1091,284
11384,8994
8411,5251
6742,1966
7027,1258
1446,11206
8954,5594
2066,4525
9610,6227
9351,3240
2503,7029
8870,421
2518,9290
10994,8702
576,6006
314,8796
1686,6536
10330,6110
6049,11168
3075,8712
3825,11415
1128,4871
10645,5741
7865,10152
8636,3410
1953,11462
1881,3917
8208,591
4387,2385
4193,7436
7735,5923
7032,1954
2088,3735
367,8019
9713,9666
10934,7908
2303,6097
7071,4544
5835,5775
10595,2616
3875,1434
4876,9687
7722,399
139,48
1171,4364
8156,531
5314,5877
6375,6510
5604,8840
4449,7801
10624,9258
2704,10326
6822,2115
5911,4555
4083,2523
3123,10824
4500,4515
8640,4617
11498,4078
632,3635
3636,11547
4673,2121
7626,1839
7779,10413
2007,1576
3288,944
3340,10758
16,9702
7952,5660
6810,416
11461,104
5030,8726
1811,4711
4038,2076
5214,1791
8698,9402
1404,10700
9006,1801
2650,4489
9728,6630
4120,3826
11402,10941
10456,4897
6765,2892
1180,2765
5391,2032
2419,8823
8340,8848
2472,3703
6243,445
5942,4235
1092,7950
3295,1959
4675,933
7185,10248
2470,2740
437,9486
5975,4267
3903,3149
4730,11483
6041,56
2329,4823
6289,5909
11470,731
9467,8708
1229,4126
11197,834
11491,10849
7948,10700
9459,3991
2670,558
4005,5482
2882,3789
1014,2771
1334,955
6630,386
3054,1812
756,4450
6671,621
2330,1949
341,9079
5489,11205
8258,7525
6131,1017
1296,7400
7183,2428
5291,3865
7486,2404
3474,10207
10465,2878
2326,7382
6417,3706
7548,5254
6034,549
10076,6923
4925,8396
5348,6073
3784,3398
2694,4329
6492,3535
2151,6047
1566,7722
2152,8015
6670,9450
660,1397
2966,5210
8303,8101
6912,421
368,7739
3965,7625
3428,3774
9663,2387
10185,10755
3182,2665
10363,9612
6658,4367
3584,2523
5348,3929
4050,10360
1952,3245
199,3788
3435,1284
10972,8255
4838,1314
5263,3802
1220,5043
7511,8534
2847,3786
7409,5686
5644,4164
8765,3948
8414,2195
8914,5299
8910,2442
10462,8470
7397,494
11223,7880
7351,3265
603,264
10284,7310
651,149
1425,1044
8009,1138
10056,6621
8396,2440
8830,10189
9391,1145
9164,6419
6060,10175
6922,3396
8731,168
1628,460
4124,1634
6693,8683
664,7512
1935,7094
5549,10735
3639,1158
6659,4007
10637,6579
7390,7727
4328,2532
995,7052
8927,2149
2124,1041
10792,6837
4526,640
5390,7642
7311,6272
6626,5888
11507,4514
9403,8970
2974,11327
2533,8283
7780,1326
3207,5901
3560,10413
2479,701
5375,5170
7605,3191
5206,384
3113,174
10351,4395
4387,5006
1139,9697
7400,8638
2203,1183
1146,3769
11266,3318
20,4749
1074,6875
10973,2966
7407,3474
11136,1785
3200,5280
3489,2438
6992,248
4886,3548
661,4168
8510,5415
7265,6628
7834,3004
9857,456
1984,1669
10913,8363
3867,5515
2614,45
9764,4626
3859,10341
4740,3564
274,2050
10379,1446
6186,1390
6032,625
6301,4183
7628,7560
228,2445
8691,11336
3370,4120
91,3335
11528,3113
4429,5459
10293,3204
8627,5345
10942,3009
6518,9836
624,2972
7067,3443
8146,3520
11324,753
11192,7164
6315,3789
2720,3747
59,8806
6647,5009
3846,10986
1593,4691
1855,1804
4787,1461
1688,4522
9676,3714
3905,1916
1131,1406
4863,336
4252,11386
530,3542
6543,10336
8673,8111
8109,4409
10769,4182
10080,10932
1890,7027
9275,5009
3745,1412
3742,468
6937,2967
11414,4145
3095,4718
9069,2416
9341,6102
10529,2113
7492,1219
9523,11358
7138,402
9419,7832
2753,5704
130,7244
1286,11402
402,6515
1422,6968
64,4
7564,8575
7565,11142
2178,2985
9816,3638
8376,5329
5513,8507
8054,2728
10786,728
772,9705
11530,8047
669,1822
8583,11371
1017,11521
8870,1640
6351,5499
8994,135
11510,8255
3121,2588
5076,8715
6511,5102
317,8683
2984,2344
4549,4644
11299,8340
2999,8105
6463,10055
4916,2059
10021,2720
774,2576
6839,1255
11249,11509
4934,1817
348,6050
8782,755
1070,4234
3904,632
4163,8663
2946,9559
5371,6809
1564,2572
5770,3833
1406,2526
5678,7442
1019,4097
3726,426
5679,6878
881,2940
3807,6417
4765,1006
4387,1431
1301,4096
9726,24
5514,5124
32,4340
11437,8771
7125,1585
8072,10945
6401,11254
9008,7326
4311,1873
793,6847
8086,1528
3638,9177
5006,11468
4861,9669
4279,1963
4992,245
10341,5404
3900,8019
1868,3290
541,4762
917,2693
4150,5855
3859,7364
3156,905
3609,402
2707,5059
7666,1076
3720,3188
10349,2896
10509,1576
10528,3208
7283,8326
7958,11434
4831,5763
2743,2690
4328,4481
4450,5983
9091,9520
4254,3088
10780,1818
2560,915
5252,1607
3265,6781
8734,7210
1553,3811
251,4739
10699,8082
7088,11473
10181,5706
1081,6875
10985,4630
7986,9019
5540,4561
8225,1060
677,5354
3434,9722
563,5494
1697,9709
11152,3384
3447,5673
2163,1931
10580,2376
4319,3743
2936,6923
4065,8200
2370,10270
5425,10649
1884,10593
8062,71
7173,4676
10941,2286
1839,7252
3682,6846
6307,6500
1395,11288
2514,6209
4215,1383
8106,10484
3401,5106
9727,4671
922,2628
3607,6427
833,5485
3009,7335
2274,5780
2283,6344
7952,10090
8467,1550
4627,9421
3362,1142
7404,3091
7110,760
757,353
6226,11536
3846,1793
4485,332
10467,6500
10766,7559
1288,4068
8197,7117
6158,3273
2906,11550
5382,943
1275,10401
3131,1560
43,2021
1508,5698
3097,8310
10394,9383
3077,364
11495,1222
3284,4875
32,8232
1299,9048
9705,2618
500,2019
6173,1613
3753,3950
8248,7335
4856,9290
2712,1185
523,5179
9654,9204
4665,25
7098,526
2282,1395
6274,527
5464,7890
7450,5078
5182,6477
1545,6584
7482,6841
7278,3919
8193,4088
5116,5216
3512,10120
8547,3970
2342,1327
1063,2165
3169,3734
10836,7094
2415,9020
4809,1717
1956,8552
8957,10535
2632,898
3248,8763
3777,9708
8332,1221
11517,2906
295,6969
3032,6990
6344,798
5967,7000
10860,792
3579,6313
6203,10099
3865,7479
9514,8443
9661,4794
71,3424
4543,9195
8232,521
11424,3243
4615,5875
1817,3054
10313,2949
10424,3704
9761,919
7899,691
6817,7145
7491,304
10083,1249
4342,1137
4119,3215
1142,9649
1664,1927
7275,6433
1959,99
9725,5114
10583,754
9842,523
2253,7223
2349,10351
5575,10636
4739,1542
4264,10702
4815,810
186,2987
6377,3108
14,5089
6390,9229
734,983
5790,7117
1842,10059
2962,2826
2910,4794
7500,4739
5246,3862
7562,2073
3109,5734
2461,5908
9023,10768
3537,1716
4899,10424
7382,11148
5824,3251
11266,8650
1253,7974
10194,5508
2796,5978
4801,4995
3918,8754
3042,1496
562,7190
